username;shortcode;commentCount;commentCountWithAnswers;comment_id;text;created_at;ownerId;ownerUsername
"fridaysforfuture.berlin";"ByNbq0-Cu65";6;6;17904905056311206;"Awesome post! Shoot me a message and hopefully we can collaborate!!";1559483998;13296374383;"hotplanetclothing.co"
"fridaysforfuture.berlin";"ByNbq0-Cu65";6;6;18070437343060781;"fuck🙈🙈🙈🤬🤬🤬";1559484074;1671445212;"teresa.piejek"
"fridaysforfuture.berlin";"ByNbq0-Cu65";6;6;17881960345361996;"@mx_plant";1559484721;1607443962;"sophieshmn"
"fridaysforfuture.berlin";"ByNbq0-Cu65";6;6;18063268585075100;"Es muss endlich was getan werden! Die Politiker sollen nicht  nur quatschen sondern auch was machen! Wir haben keinen Reserveplanet!";1559484637;4123746017;"x.animetypi.x"
"fridaysforfuture.berlin";"ByNbq0-Cu65";6;6;18045202255087129;"@mirixeni";1559503423;1392160450;"fabeey_"
"fridaysforfuture.berlin";"ByNbq0-Cu65";6;6;17870074792380158;"Bleibt dran ich finde es megageil was ihr macht💪🤘🤙👍";1559487070;3136704951;"martinscheunemann"
"fridaysforfuture.berlin";"ByBGPlICM1O";16;31;17862970036399579;"Wann ist der nächste große Demozug?";1559071168;5885412380;"ole_fxhz"
"fridaysforfuture.berlin";"ByBGPlICM1O";16;31;17898268999318804;"Wann ist der nächste große Demozug?";1559071154;5885412380;"ole_fxhz"
"fridaysforfuture.berlin";"ByBGPlICM1O";16;31;17853866269433976;"Bin dabei @y.x.s.m.x.n 🌱💚";1559073812;6296829249;"gundolf_bln"
"fridaysforfuture.berlin";"ByBGPlICM1O";16;31;18051879277115868;"Da es seit 20 Jahren keine globale Erderwärmung, sondern sogar eine abkühlung gegeben hat, sind wir noch weit entfernt von den 1,5 Grad oder ist 1,5 Grad Abkühlung gemeint? Mal die ganze Klimahysterie ausser Acht gelassen......wie sieht es mit dem Umweltschutz und dem Artenschutz aus? Was ist angedacht, der Rodung der Tropenwälder für den Sojaanbau, der zerstörung der Böden durch chemische Düngemittel, der Massentierhaltung, der gesundheitlichen Belastung der Menschen durch Windräder, der Überfischung der Meere, der Plastikvermüllung, dem Ressourcenverbrauch in Afrika, der weltweiten Armut, der Ausbeutung von Entwicklungs-und Schwellenländern, dem Flüchtlingszuwachs durch weltweite Kriegshandlungen,, der Monokulturlandwirtschaft, der Luftverschmutzung durch Industrie, Flugverkehr, Autoverkehr, Kreuzfahrtschiffen usw.,, zu lösen?";1559073271;8376006380;"martin_kugler72"
"fridaysforfuture.berlin";"ByBGPlICM1O";16;31;17893297606333521;"Bin am Freitag wieder mit dabei. 💚💚🌍👍";1559075674;11079025982;"tamago._dani"
"fridaysforfuture.berlin";"ByBGPlICM1O";16;31;18052988533103841;"@mariachenlili";1559073418;1615304471;"e.l_li"
"fridaysforfuture.berlin";"ByBGPlICM1O";16;31;17874657253373811;"die sollten echt langsam sterben";1559080525;8165631758;"ka_neun"
